"SampleID","TA","Mass","Sample.Index","TA_evap"
"JUNK1",2063.64531027204,59.7316,NA,2063.64531027204
"JUNK2",1708.69549066424,59.9746,NA,1707.71965086375
"MANC_20230707_1A",2075.86345538721,60.4949,NA,2073.49374824636
"MANC_20230707_1B",2073.06645946872,59.8886,NA,2069.5187131034
"CHEL_20230706_3A",2047.01996973516,60.3435,NA,2042.35173719301
"CHEL_20230706_3B",2036.94772663933,59.6657,NA,2031.14445676286
"TB_20230705_3A",1679.89989031473,60.3285,NA,1674.15991346855
"TB_20230705_3B",1683.83810378938,60.599,NA,1677.12958544759
"PBB_SW_TANK_1A",2071.61549150018,60.0007,NA,2062.18834478118
"PBB_SW_TANK_1B",2068.3894957146,59.7566,NA,2057.80649090423
