"","Site","Rep","Date.Collected","ph.Field","temp.Field","Temperature...spec.C","Salinity","pH.sample.with.dye.corrections","pH.of.sample.without.correction","Date","TA","Mass","Sample.Index","TA_evap","seacarb.flag","seacarb.S","seacarb.T","seacarb.Patm","seacarb.P","seacarb.pH","seacarb.CO2","seacarb.fCO2","seacarb.pCO2","seacarb.fCO2pot","seacarb.pCO2pot","seacarb.fCO2insitu","seacarb.pCO2insitu","seacarb.HCO3","seacarb.CO3","seacarb.DIC","seacarb.ALK","seacarb.OmegaAragonite","seacarb.OmegaCalcite"
"1","Thorndyke","1A","5-Jul-23","8.344",21.9,25,20.96,8.359073,8.357761,"20230705",1693.867,59.8977,NA,1691.934,8.000000e+00,2.096000e+01,2.190000e+01,1.000000e+00,0.000000e+00,8.359073e+00,4.768684e-06,1.437783e+02,1.442563e+02,1.437783e+02,1.442563e+02,1.437783e+02,1.442563e+02,1.235068e-03,1.875680e-04,1.427405e-03,1.691934e-03,3.082895e+00,4.976536e+00
"2","Thorndyke","1B","5-Jul-23","8.344",21.9,25,20.96,8.368922,8.367573,"20230705",1694.432,59.6566,NA,1691.532,8.000000e+00,2.096000e+01,2.190000e+01,1.000000e+00,0.000000e+00,8.368922e+00,4.631903e-06,1.396543e+02,1.401186e+02,1.396543e+02,1.401186e+02,1.396543e+02,1.401186e+02,1.227158e-03,1.906413e-04,1.422431e-03,1.691532e-03,3.133408e+00,5.058076e+00
"3","Thorndyke","2A","5-Jul-23","8.613",24.9,25,19.30,8.571382,8.569313,"20230705",1568.007,60.4232,NA,1566.217,8.000000e+00,1.930000e+01,2.490000e+01,1.000000e+00,0.000000e+00,8.571382e+00,2.183105e-06,7.067851e+01,7.090496e+01,7.067851e+01,7.090496e+01,7.067851e+01,7.090496e+01,9.533591e-04,2.506844e-04,1.206227e-03,1.566217e-03,4.217056e+00,6.822231e+00
"4","Thorndyke","2B","5-Jul-23","8.613",24.9,25,19.30,8.546752,8.544773,"20230705",1564.393,59.8493,NA,1561.716,8.000000e+00,1.930000e+01,2.490000e+01,1.000000e+00,0.000000e+00,8.546752e+00,2.354447e-06,7.622574e+01,7.646996e+01,7.622574e+01,7.646996e+01,7.622574e+01,7.646996e+01,9.714967e-04,2.413697e-04,1.215221e-03,1.561716e-03,4.060362e+00,6.568736e+00
"5","Thorndyke","3A","5-Jul-23","8.619",25.1,25,18.17,8.642209,8.639886,"20230705",1679.900,60.3285,NA,1674.160,8.000000e+00,1.817000e+01,2.510000e+01,1.000000e+00,0.000000e+00,8.642209e+00,1.867275e-06,6.041199e+01,6.060508e+01,6.041199e+01,6.060508e+01,6.041199e+01,6.060508e+01,9.625999e-04,2.978281e-04,1.262295e-03,1.674160e-03,5.030051e+00,8.191698e+00
"6","Thorndyke","3B","5-Jul-23","8.619",25.1,25,18.17,8.597881,8.595724,"20230705",1683.838,60.5990,NA,1677.130,8.000000e+00,1.817000e+01,2.510000e+01,1.000000e+00,0.000000e+00,8.597881e+00,2.161579e-06,6.993364e+01,7.015715e+01,6.993364e+01,7.015715e+01,6.993364e+01,7.015715e+01,1.006193e-03,2.811082e-04,1.289463e-03,1.677130e-03,4.747667e+00,7.731822e+00
"7","Chelsea","1A","6-Jul-23","8.159",19.4,25,28.28,8.186866,8.186184,"20230706",2023.605,60.1874,NA,2018.991,8.000000e+00,2.828000e+01,1.940000e+01,1.000000e+00,0.000000e+00,8.186866e+00,8.632203e-06,2.525614e+02,2.534276e+02,2.525614e+02,2.534276e+02,2.525614e+02,2.534276e+02,1.575323e-03,1.802699e-04,1.764225e-03,2.018991e-03,2.878918e+00,4.515829e+00
"8","Chelsea","1B","6-Jul-23","8.159",19.4,25,28.28,8.179621,8.178970,"20230706",2024.671,60.1209,NA,2018.903,8.000000e+00,2.828000e+01,1.940000e+01,1.000000e+00,0.000000e+00,8.179621e+00,8.809059e-06,2.577358e+02,2.586198e+02,2.577358e+02,2.586198e+02,2.577358e+02,2.586198e+02,1.581000e-03,1.779262e-04,1.767736e-03,2.018903e-03,2.841490e+00,4.457120e+00
"9","Hood Head","1A","17-Jul-23","8.126",17.5,25,29.47,8.080612,8.080420,"20230717",2080.429,59.5310,NA,2073.321,8.000000e+00,2.947000e+01,1.750000e+01,1.000000e+00,0.000000e+00,8.080612e+00,1.231412e-05,3.433875e+02,3.445938e+02,3.433875e+02,3.445938e+02,3.433875e+02,3.445938e+02,1.710367e-03,1.471217e-04,1.869803e-03,2.073321e-03,2.322851e+00,3.645054e+00
"10","Hood Head","1B","17-Jul-23","8.126",17.5,25,29.47,8.098649,8.098366,"20230717",2092.012,59.9668,NA,2083.678,8.000000e+00,2.947000e+01,1.750000e+01,1.000000e+00,0.000000e+00,8.098649e+00,1.178681e-05,3.286832e+02,3.298378e+02,3.286832e+02,3.298378e+02,3.286832e+02,3.298378e+02,1.706552e-03,1.530186e-04,1.871357e-03,2.083678e-03,2.415955e+00,3.791154e+00
"11","Chelsea","2A","6-Jul-23","8.327",18.0,25,28.65,8.301643,8.300487,"20230706",2049.931,60.5531,NA,2045.256,8.000000e+00,2.865000e+01,1.800000e+01,1.000000e+00,0.000000e+00,8.301643e+00,6.536741e-06,1.841177e+02,1.847603e+02,1.841177e+02,1.847603e+02,1.841177e+02,1.847603e+02,1.513319e-03,2.160367e-04,1.735892e-03,2.045256e-03,3.426009e+00,5.384971e+00
"12","Chelsea","2B","6-Jul-23","8.327",18.0,25,28.65,8.299452,8.298305,"20230706",2047.438,60.3495,NA,2041.604,8.000000e+00,2.865000e+01,1.800000e+01,1.000000e+00,0.000000e+00,8.299452e+00,6.566068e-06,1.849437e+02,1.855892e+02,1.849437e+02,1.855892e+02,1.849437e+02,1.855892e+02,1.512458e-03,2.148272e-04,1.733851e-03,2.041604e-03,3.406828e+00,5.354823e+00
"13","Hood Head","2A","17-Jul-23","8.120",17.5,25,29.47,8.084370,8.084159,"20230717",2073.286,59.9065,NA,2066.202,8.000000e+00,2.947000e+01,1.750000e+01,1.000000e+00,0.000000e+00,8.084370e+00,1.214617e-05,3.387043e+02,3.398941e+02,3.387043e+02,3.398941e+02,3.387043e+02,3.398941e+02,1.701704e-03,1.476488e-04,1.861499e-03,2.066202e-03,2.331173e+00,3.658113e+00
"14","Hood Head","2B","17-Jul-23","8.120",17.5,25,29.47,8.094687,8.094424,"20230717",2074.335,59.9137,NA,2066.070,8.000000e+00,2.947000e+01,1.750000e+01,1.000000e+00,0.000000e+00,8.094687e+00,1.181018e-05,3.293349e+02,3.304917e+02,3.293349e+02,3.304917e+02,3.293349e+02,3.304917e+02,1.694409e-03,1.505502e-04,1.856769e-03,2.066070e-03,2.376983e+00,3.729999e+00
"15","Manchester","1A","7-Jul-23","7.700",12.9,25,12.90,7.790931,7.793015,"20230707",2075.863,60.4949,NA,2073.494,8.000000e+00,1.290000e+01,1.290000e+01,1.000000e+00,0.000000e+00,7.790931e+00,3.874428e-05,8.553750e+02,8.585623e+02,8.553750e+02,8.585623e+02,8.553750e+02,8.585623e+02,1.971633e-03,4.527423e-05,2.055652e-03,2.073494e-03,7.114150e-01,1.233605e+00
"16","Manchester","1B","7-Jul-23","7.700",12.9,25,29.45,7.724075,7.726474,"20230707",2073.066,59.8886,NA,2069.519,8.000000e+00,2.945000e+01,1.290000e+01,1.000000e+00,0.000000e+00,7.724075e+00,3.495806e-05,8.476304e+02,8.507888e+02,8.476304e+02,8.507888e+02,8.476304e+02,8.507888e+02,1.918388e-03,6.082665e-05,2.014173e-03,2.069519e-03,9.457243e-01,1.498874e+00
"17","Chelsea","3A","6-Jul-23","8.511",18.9,25,28.06,8.408073,8.406526,"20230706",2047.020,60.3435,NA,2042.352,8.000000e+00,2.806000e+01,1.890000e+01,1.000000e+00,0.000000e+00,8.408073e+00,4.681058e-06,1.348671e+02,1.353325e+02,1.348671e+02,1.353325e+02,1.348671e+02,1.353325e+02,1.402729e-03,2.606298e-04,1.668040e-03,2.042352e-03,4.155760e+00,6.531996e+00
"18","Chelsea","3B","6-Jul-23","8.511",18.9,25,28.06,8.406531,8.404989,"20230706",2036.948,59.6657,NA,2031.144,8.000000e+00,2.806000e+01,1.890000e+01,1.000000e+00,0.000000e+00,8.406531e+00,4.675549e-06,1.347084e+02,1.351732e+02,1.347084e+02,1.351732e+02,1.347084e+02,1.351732e+02,1.396110e-03,2.584804e-04,1.659266e-03,2.031144e-03,4.121486e+00,6.478125e+00
"19","Thorndyke","4A","5-Jul-23","8.691",26.2,25,19.44,8.640879,8.638551,"20230705",1645.974,60.0490,NA,1644.095,8.000000e+00,1.944000e+01,2.620000e+01,1.000000e+00,0.000000e+00,8.640879e+00,1.744424e-06,5.843570e+01,5.861998e+01,5.843570e+01,5.861998e+01,5.843570e+01,5.861998e+01,9.186529e-04,2.985884e-04,1.218986e-03,1.644095e-03,5.069340e+00,8.165120e+00
"20","Thorndyke","4B","5-Jul-23","8.691",26.2,25,19.44,8.642092,8.639760,"20230705",1647.166,60.5598,NA,1644.347,8.000000e+00,1.944000e+01,2.620000e+01,1.000000e+00,0.000000e+00,8.642092e+00,1.737680e-06,5.820978e+01,5.839335e+01,5.820978e+01,5.839335e+01,5.820978e+01,5.839335e+01,9.176617e-04,2.991007e-04,1.218500e-03,1.644347e-03,5.078038e+00,8.179130e+00
"21","Chelsea","4A","6-Jul-23","na",19.1,25,28.82,8.246187,8.245250,"20230721",2048.567,60.0855,NA,2041.568,8.000000e+00,2.882000e+01,1.910000e+01,1.000000e+00,0.000000e+00,8.246187e+00,7.372778e-06,2.145173e+02,2.152557e+02,2.145173e+02,2.152557e+02,2.145173e+02,2.152557e+02,1.541936e-03,2.028574e-04,1.752166e-03,2.041568e-03,3.230173e+00,5.060677e+00
"22","Chelsea","4B","6-Jul-23","na",19.1,25,28.82,8.246963,8.246023,"20230721",2049.949,59.9750,NA,2041.782,8.000000e+00,2.882000e+01,1.910000e+01,1.000000e+00,0.000000e+00,8.246963e+00,7.357200e-06,2.140640e+02,2.148009e+02,2.140640e+02,2.148009e+02,2.140640e+02,2.148009e+02,1.541430e-03,2.031538e-04,1.751941e-03,2.041782e-03,3.234893e+00,5.068071e+00
"23","Thorndyke","5A","5-Jul-23","8.691",26.2,25,19.44,8.670918,8.668475,"20230705",1653.817,59.6068,NA,1650.045,8.000000e+00,1.944000e+01,2.620000e+01,1.000000e+00,0.000000e+00,8.670918e+00,1.583690e-06,5.305132e+01,5.321862e+01,5.305132e+01,5.321862e+01,5.305132e+01,5.321862e+01,8.937362e-04,3.112940e-04,1.206614e-03,1.650045e-03,5.285052e+00,8.512565e+00
"24","Thorndyke","5B","5-Jul-23","8.691",26.2,25,19.44,8.664958,8.662538,"20230705",1649.263,60.5569,NA,1644.565,8.000000e+00,1.944000e+01,2.620000e+01,1.000000e+00,0.000000e+00,8.664958e+00,1.609939e-06,5.393062e+01,5.410070e+01,5.393062e+01,5.410070e+01,5.393062e+01,5.410070e+01,8.961650e-04,3.078852e-04,1.205660e-03,1.644565e-03,5.227178e+00,8.419347e+00
