SampleID,TA,Mass,Sample.Index,TA_evap
JUNK1,1206.216518,59.9213,NA,1206.216518
JUNK2,1196.660525,60.2261,NA,1195.977109
MANC_05182023_2A,2047.841819,59.3377,NA,2045.5041
MANC_05182023_2B,2056.533924,59.7619,NA,2053.01447
MANC_06122023_1A,2055.54854,59.1531,NA,2050.860858
MANC_06122023_1B,2050.987364,60.2929,NA,2045.144095
MANC_06122023_2A,2052.974539,60.2209,NA,2045.95982
MANC_06122023_2B,2048.722169,59.489,NA,2040.559929
HOOD_06162023_1A,1978.408709,59.2017,NA,1969.405711
HOOD_06162023_1B,1980.50353,59.9773,NA,1970.370197
HOOD_06162023_2A,1986.873751,59.0536,NA,1975.584695
HOOD_06162023_2B,2004.687846,60.1503,NA,1992.165662
TB_06052023_1A,1776.179697,59.461,NA,1764.083127
TB_06052023_1B,1770.356071,59.3512,NA,1757.301829
TB_06052023_2A,1542.645412,60.1559,NA,1530.402194
TB_06052023_2B,1550.895549,60.5646,NA,1537.715134
