"SampleID","TA","Mass","Sample.Index","TA_evap"
"JUNK1",1186.93710677684,60.8704,NA,1186.93710677684
"JUNK2",1187.07300203654,59.188,NA,1186.39506200111
"TB_20230605_3A",1556.34469718579,60.1864,NA,1554.56804798809
"TB_20230605_3B",1558.14273214052,60.7544,NA,1555.47620150936
"CHEL_20230606_1A",2017.88207370398,60.2515,NA,2013.28029018356
"CHEL_20230606_1B",2012.72335344427,60.9029,NA,2006.98909887605
"CHEL_20230606_2A",2007.62045707518,59.9114,NA,2000.7607060829
"CHEL_20230606_2B",2004.23098602234,60.3926,NA,1996.24600201428
"CHEL_20230606_3A",2002.67021437095,59.0987,NA,1993.55681180271
"CHEL_20230606_3B",1998.61795260426,59.3597,NA,1988.39193692863
"CHEL_20230606_4A",2000.89847281321,59.7158,NA,1989.5297314904
"CHEL_20230606_4B",2004.97289211124,59.3785,NA,1992.44892742457
