"","Site","Rep","Date.Collected","ph.Field","temp.Field","Temperature...spec.C","Salinity","pH.sample.with.dye.corrections","pH.of.sample.without.correction","Date","TA","Mass","Sample.Index","TA_evap","seacarb.flag","seacarb.S","seacarb.T","seacarb.Patm","seacarb.P","seacarb.pH","seacarb.CO2","seacarb.fCO2","seacarb.pCO2","seacarb.fCO2pot","seacarb.pCO2pot","seacarb.fCO2insitu","seacarb.pCO2insitu","seacarb.HCO3","seacarb.CO3","seacarb.DIC","seacarb.ALK","seacarb.OmegaAragonite","seacarb.OmegaCalcite"
"1","Manchester","1A","12-Jun-23","7.80",13.6,25.0,28.55,7.952075,7.953898,"06122023",2055.549,59.1531,NA,2050.861,8.000000e+00,2.855000e+01,1.360000e+01,1.000000e+00,0.000000e+00,7.952075e+00,1.937745e-05,4.778569e+02,4.796209e+02,4.778569e+02,4.796209e+02,4.778569e+02,4.796209e+02,1.809912e-03,9.736798e-05,1.926658e-03,2.050861e-03,1.520201e+00,2.413430e+00
"2","Manchester","1B","12-Jun-23","7.80",13.6,25.0,28.55,7.954416,7.956218,"06122023",2050.987,60.2929,NA,2045.144,8.000000e+00,2.855000e+01,1.360000e+01,1.000000e+00,0.000000e+00,7.954416e+00,1.920613e-05,4.736323e+02,4.753806e+02,4.736323e+02,4.753806e+02,4.736323e+02,4.753806e+02,1.803607e-03,9.755320e-05,1.920366e-03,2.045144e-03,1.523093e+00,2.418021e+00
"3","Manchester","2A","12-Jun-23","7.80",13.6,25.0,28.55,8.005968,8.007332,"05182023",2047.842,59.3377,NA,2045.504,8.000000e+00,2.855000e+01,1.360000e+01,1.000000e+00,0.000000e+00,8.005968e+00,1.680977e-05,4.145367e+02,4.160668e+02,4.145367e+02,4.160668e+02,4.145367e+02,4.160668e+02,1.777524e-03,1.082598e-04,1.902594e-03,2.045504e-03,1.690253e+00,2.683401e+00
"4","Manchester","2A","12-Jun-23","7.80",13.6,25.0,28.55,8.005968,8.007332,"06122023",2052.975,60.2209,NA,2045.960,8.000000e+00,2.855000e+01,1.360000e+01,1.000000e+00,0.000000e+00,8.005968e+00,1.681361e-05,4.146315e+02,4.161619e+02,4.146315e+02,4.161619e+02,4.146315e+02,4.161619e+02,1.777930e-03,1.082845e-04,1.903028e-03,2.045960e-03,1.690640e+00,2.684014e+00
"5","Manchester","2B","12-Jun-23","7.80",13.6,25.0,28.55,7.990431,7.991923,"05182023",2056.534,59.7619,NA,2053.014,8.000000e+00,2.855000e+01,1.360000e+01,1.000000e+00,0.000000e+00,7.990431e+00,1.756832e-05,4.332431e+02,4.348423e+02,4.332431e+02,4.348423e+02,4.332431e+02,4.348423e+02,1.792451e-03,1.053324e-04,1.915352e-03,2.053014e-03,1.644549e+00,2.610842e+00
"6","Manchester","2B","12-Jun-23","7.80",13.6,25.0,28.55,7.990431,7.991923,"06122023",2048.722,59.4890,NA,2040.560,8.000000e+00,2.855000e+01,1.360000e+01,1.000000e+00,0.000000e+00,7.990431e+00,1.745909e-05,4.305494e+02,4.321387e+02,4.305494e+02,4.321387e+02,4.305494e+02,4.321387e+02,1.781307e-03,1.046775e-04,1.903443e-03,2.040560e-03,1.634324e+00,2.594609e+00
"7","Hood Head","1A","16-Jun-23",NA,15.8,25.0,26.89,8.192312,8.192259,"06162023",1978.409,59.2017,NA,1969.406,8.000000e+00,2.689000e+01,1.580000e+01,1.000000e+00,0.000000e+00,8.192312e+00,9.470388e-06,2.475440e+02,2.484323e+02,2.475440e+02,2.484323e+02,2.475440e+02,2.484323e+02,1.588205e-03,1.546734e-04,1.752349e-03,1.969406e-03,2.441808e+00,3.883243e+00
"8","Hood Head","1B","16-Jun-23",NA,15.8,25.0,26.89,8.193155,8.193098,"06162023",1980.504,59.9773,NA,1970.370,8.000000e+00,2.689000e+01,1.580000e+01,1.000000e+00,0.000000e+00,8.193155e+00,9.453265e-06,2.470965e+02,2.479832e+02,2.470965e+02,2.479832e+02,2.470965e+02,2.479832e+02,1.588416e-03,1.549947e-04,1.752864e-03,1.970370e-03,2.446880e+00,3.891309e+00
"9","Hood Head","2A","16-Jun-23",NA,15.8,25.0,26.89,8.221136,8.220933,"06162023",1986.874,59.0536,NA,1975.585,8.000000e+00,2.689000e+01,1.580000e+01,1.000000e+00,0.000000e+00,8.221136e+00,8.774856e-06,2.293637e+02,2.301868e+02,2.293637e+02,2.301868e+02,2.293637e+02,2.301868e+02,1.572544e-03,1.636574e-04,1.744976e-03,1.975585e-03,2.583638e+00,4.108796e+00
"10","Hood Head","2B","16-Jun-23",NA,15.8,25.0,26.89,8.238938,8.238646,"06162023",2004.688,60.1503,NA,1992.166,8.000000e+00,2.689000e+01,1.580000e+01,1.000000e+00,0.000000e+00,8.238938e+00,8.424282e-06,2.202001e+02,2.209903e+02,2.202001e+02,2.209903e+02,2.202001e+02,2.209903e+02,1.572888e-03,1.705425e-04,1.751855e-03,1.992166e-03,2.692332e+00,4.281654e+00
"11","Thorndyke","1B","5-Jun-23","8.67",18.7,25.0,21.61,8.480800,8.479367,"06052023",1770.356,59.3512,NA,1757.302,8.000000e+00,2.161000e+01,1.870000e+01,1.000000e+00,0.000000e+00,8.480800e+00,3.766954e-06,1.041785e+02,1.045389e+02,1.041785e+02,1.045389e+02,1.041785e+02,1.045389e+02,1.218504e-03,2.215120e-04,1.443783e-03,1.757302e-03,3.571014e+00,5.788032e+00
"12","Thorndyke","2A","5-Jun-23","",22.0,25.0,23.00,8.575738,8.573779,"06052023",1542.645,60.1559,NA,1530.402,8.000000e+00,2.300000e+01,2.200000e+01,1.000000e+00,0.000000e+00,8.575738e+00,2.074752e-06,6.341148e+01,6.362201e+01,6.341148e+01,6.362201e+01,6.341148e+01,6.362201e+01,9.142348e-04,2.438240e-04,1.160134e-03,1.530402e-03,3.995332e+00,6.375497e+00
"13","Thorndyke","3A","5-Jun-23","na",24.5,24.9,25.46,8.717454,8.714802,"20230605",1556.345,60.1864,NA,1554.568,8.000000e+00,2.546000e+01,2.450000e+01,1.000000e+00,0.000000e+00,8.717454e+00,1.103040e-06,3.649623e+01,3.661373e+01,3.649623e+01,3.661373e+01,3.649623e+01,3.661373e+01,7.326105e-04,3.185708e-04,1.052284e-03,1.554568e-03,5.266881e+00,8.247481e+00
