Spec Bag,Bag,Site,Rep,Date Collected,ph Field,temp Field,spec Adj REAL pH,Temperature - spec C,Salinity,final dye concentration per shot (mMol/L),pH sample with dye corrections,pH of sample without correction,A 434,A 578,A 730,A 434,A 578,A 730,A1/A2,pK2,E1(HI-)/E2(HI-),E1(I-2)/E2(HI-),E2(I-2)/E2(HI-),Intercept (a),Slope (b),(A1/A2)corrected,
,5,Manchester,1a,12-Jun-23,7.80,13.6,,25,28.55,0.00095,7.95207479,7.953898271,-0.1800,-0.1400,-0.0600,0.1900,0.3100,-0.0600,1.216216216,8.185276893,0.0069,2.222,0.133,11.94137039,-5.749375923,1.211514774,0.0000
,6,Manchester,1b,12-Jun-23,7.80,13.6,,25,28.55,0.00095,7.954415783,7.956218251,-0.16,-0.13,-0.05,0.21,0.32,-0.04,1.222222222,8.185276893,0.0069,2.222,0.133,11.94137039,-5.749375923,1.217553585,-0.01
,1,Manchester,2a,12-Jun-23,7.80,13.60,,25,28.55,0.00095,8.005967666,8.007332396,-0.14,-0.11,-0.03,0.33,0.53,-0.03,1.361702128,8.185276893,0.0069,2.222,0.133,11.94137039,-5.749375923,1.357795316,0
,2,Manchester,2b,12-Jun-23,7.80,13.60,,25,28.55,0.00095,7.99043082,7.991922601,-0.15,-0.11,-0.04,0.31,0.49,-0.02,1.318181818,8.185276893,0.0069,2.222,0.133,11.94137039,-5.749375923,1.314037303,-0.02
,3,Hood Head,1a,16-Jun-23,NA,15.8,,25,26.89,0.00095,8.192311749,8.192259444,-0.1700,-0.1200,-0.0600,0.2200,0.6500,-0.0100,2.117647059,8.155703984,0.0069,2.222,0.133,11.94137039,-5.749375923,2.117869149,-0.0500
,4,Hood Head,1b,16-Jun-23,NA,15.8,,25,26.89,0.00095,8.193155298,8.19309849,-0.11,-0.09,0,0.22,0.61,0,2.121212121,8.155703984,0.0069,2.222,0.133,11.94137039,-5.749375923,2.121453683,0.0000
,5,Hood Head,2a,16-Jun-23,NA,15.8,,25,26.89,0.00095,8.221135666,8.220933025,-0.1100,-0.0900,-0.0100,0.2200,0.6500,-0.0100,2.242424242,8.155703984,0.0069,2.222,0.133,11.94137039,-5.749375923,2.243327854,#REF!
,6,Hood Head,2b,16-Jun-23,NA,15.8,,25,26.89,0.00095,8.238937717,8.238645711,-0.0600,-0.0700,0.0100,0.2500,0.6500,0.0100,2.322580645,8.155703984,0.0069,2.222,0.133,11.94137039,-5.749375923,2.323922063,0.0000
,1,Thorndyke,1b,5-Jun-23,8.67,18.7,,25,21.61,0.00095,8.480800456,8.47936673,-0.0800,-0.0800,0.0000,0.1900,0.8800,0.0300,3.875,8.12400714,0.0069,2.222,0.133,11.94137039,-5.749375923,3.884820588,-0.0300
,2,Thorndyke,2a,5-Jun-23,,22,,25,23,0.00095,8.575737511,8.573778896,-0.09,-0.1,-0.03,0.13,0.99,-0.03,4.954545455,8.073351933,0.0069,2.222,0.133,11.94137039,-5.749375923,4.97026242,0
