"","Date","Bag.colour","Bag.number","Tag.number","Mass","Mass.unit","Height","Site","Ploidy"
"1","6-Jun","green",85,"1",14.8,"",43.65,"Chelsea","Diploid"
"2","6-Jun","green",85,"2",6.2,"",36.51,"Chelsea","Diploid"
"3","6-Jun","green",85,"3",NA,NA,NA,"Chelsea","Diploid"
"4","6-Jun","green",85,"4",6.3,"",37.56,"Chelsea","Diploid"
"5","6-Jun","green",85,"5",5,"",31.87,"Chelsea","Diploid"
"6","6-Jun","green",85,"6",10.3,"",40.63,"Chelsea","Diploid"
"7","6-Jun","green",85,"7",6.5,"",39,"Chelsea","Diploid"
"8","6-Jun","green",85,"8",11.4,"",44.05,"Chelsea","Diploid"
"9","6-Jun","green",85,"9",8.8,"",41.87,"Chelsea","Diploid"
"10","6-Jun","green",85,"10",8,"",43.58,"Chelsea","Diploid"
"11","6-Jun","green",85,"11",5.8,"",35.87,"Chelsea","Diploid"
"12","6-Jun","green",85,"12",16.1,"",47.2,"Chelsea","Diploid"
"13","6-Jun","green",85,"13",10.5,"",52.07,"Chelsea","Diploid"
"14","6-Jun","green",85,"14",7.7,"",40.2,"Chelsea","Diploid"
"15","6-Jun","green",85,"15",5.6,"",35.38,"Chelsea","Diploid"
"16","6-Jun","green",85,"16",7.5,"",41.55,"Chelsea","Diploid"
"17","6-Jun","green",85,"17",13.7,"",42.61,"Chelsea","Diploid"
"18","6-Jun","green",85,"18",7.8,"",38.61,"Chelsea","Diploid"
"19","6-Jun","green",85,"19",NA,"",NA,"Chelsea","Diploid"
"20","6-Jun","green",85,"20",11.1,"",48.09,"Chelsea","Diploid"
"21","6-Jun","green",85,"21",5.6,"",34.99,"Chelsea","Diploid"
"22","6-Jun","green",85,"22",10.9,"",49.06,"Chelsea","Diploid"
"23","6-Jun","green",85,"23",4.8,"",35.57,"Chelsea","Diploid"
"24","6-Jun","green",85,"24",10.9,"",46.75,"Chelsea","Diploid"
"25","6-Jun","green",85,"25",12.7,"",42.68,"Chelsea","Diploid"
"26","6-Jun","green",85,"26",6.1,"",40.23,"Chelsea","Diploid"
"27","6-Jun","green",85,"27",8.7,"",45.04,"Chelsea","Diploid"
"28","6-Jun","green",85,"28",12.2,"",56.42,"Chelsea","Diploid"
"29","6-Jun","green",85,"29",6.6,"",46.51,"Chelsea","Diploid"
"30","6-Jun","green",85,"30",6.2,"",37.29,"Chelsea","Diploid"
"31","6-Jun","green",85,"31",26,"",55.25,"Chelsea","Diploid"
