"","Date","Bag.colour","Bag.number","Tag.number","Mass","Mass.unit","Height","Site","Ploidy"
"1","6/16/2023","red",33,"1",17.1,"",55.87,"Hood Head","Mated triploid"
"2","6/16/2023","red",33,"2",22,"",69.49,"Hood Head","Mated triploid"
"3","6/16/2023","red",33,"3",28.6,"",65.88,"Hood Head","Mated triploid"
"4","6/16/2023","red",33,"4",NA,"",NA,"Hood Head","Mated triploid"
"5","6/16/2023","red",33,"5",19.1,"",60.94,"Hood Head","Mated triploid"
"6","6/16/2023","red",33,"6",15.3,"",53.31,"Hood Head","Mated triploid"
"7","6/16/2023","red",33,"7",NA,"",NA,"Hood Head","Mated triploid"
"8","6/16/2023","red",33,"8",15.9,"",53.76,"Hood Head","Mated triploid"
"9","6/16/2023","red",33,"9",15.4,"",56.3,"Hood Head","Mated triploid"
"10","6/16/2023","red",33,"10",22.1,"",64.78,"Hood Head","Mated triploid"
"11","6/16/2023","red",33,"11",NA,"",NA,"Hood Head","Mated triploid"
"12","6/16/2023","red",33,"12",NA,"",NA,"Hood Head","Mated triploid"
"13","6/16/2023","red",33,"13",NA,"",NA,"Hood Head","Mated triploid"
"14","6/16/2023","red",33,"14",NA,"",NA,"Hood Head","Mated triploid"
"15","6/16/2023","red",33,"15",16.7,"",60.52,"Hood Head","Mated triploid"
"16","6/16/2023","red",33,"16",15.5,"",52.21,"Hood Head","Mated triploid"
"17","6/16/2023","red",33,"17",NA,"",NA,"Hood Head","Mated triploid"
"18","6/16/2023","red",33,"18",NA,"",NA,"Hood Head","Mated triploid"
"19","6/16/2023","red",33,"19",19.5,"",67.73,"Hood Head","Mated triploid"
"20","6/16/2023","red",33,"20",14.5,"",61.51,"Hood Head","Mated triploid"
"21","6/16/2023","red",33,"21",16.1,"",63.6,"Hood Head","Mated triploid"
"22","6/16/2023","red",33,"22",14.9,"",49.3,"Hood Head","Mated triploid"
"23","6/16/2023","red",33,"23",24.1,"",60.35,"Hood Head","Mated triploid"
"24","6/16/2023","red",33,"24",14.7,"",59.3,"Hood Head","Mated triploid"
"25","6/16/2023","red",33,"25",11.8,"",46.69,"Hood Head","Mated triploid"
"26","6/16/2023","red",33,"26",20.5,"",60.01,"Hood Head","Mated triploid"
"27","6/16/2023","red",33,"27",15.5,"",54.94,"Hood Head","Mated triploid"
"28","6/16/2023","red",33,"28",13.3,"",43.86,"Hood Head","Mated triploid"
"29","6/16/2023","red",33,"29",NA,"",NA,"Hood Head","Mated triploid"
"30","6/16/2023","red",33,"30",18.5,"",55.38,"Hood Head","Mated triploid"
"31","6/16/2023","red",33,"31",23.1,"",63.58,"Hood Head","Mated triploid"
"32","6/16/2023","red",33,"32",16.5,"",59.33,"Hood Head","Mated triploid"
"33","6/16/2023","red",33,"33",17.3,"",59.96,"Hood Head","Mated triploid"
"34","6/16/2023","red",33,"34",12.2,"",45.01,"Hood Head","Mated triploid"
"35","6/16/2023","red",33,"35",17.4,"",59.95,"Hood Head","Mated triploid"
"36","6/16/2023","red",33,"36",NA,"",NA,"Hood Head","Mated triploid"
"37","6/16/2023","red",33,"37",30,"",67.94,"Hood Head","Mated triploid"
"38","6/16/2023","red",33,"38",12.5,"",50.7,"Hood Head","Mated triploid"
"39","6/16/2023","red",33,"39",17.2,"",60.23,"Hood Head","Mated triploid"
"40","6/16/2023","red",33,"40",NA,"",NA,"Hood Head","Mated triploid"
"41","6/16/2023","red",33,"41",13.6,"",50.36,"Hood Head","Mated triploid"
"42","6/16/2023","red",33,"42",24.3,"",62.35,"Hood Head","Mated triploid"
"43","6/16/2023","red",33,"43",NA,"",NA,"Hood Head","Mated triploid"
"44","6/16/2023","red",33,"44",17.8,"",53.27,"Hood Head","Mated triploid"
"45","6/16/2023","red",33,"45",12.2,"",49.05,"Hood Head","Mated triploid"
"46","6/16/2023","red",33,"46",NA,"",NA,"Hood Head","Mated triploid"
"47","6/16/2023","red",33,"47",11.8,"",44.61,"Hood Head","Mated triploid"
