"","Date","Bag.colour","Bag.number","Tag.number","Mass","Mass.unit","Height","Site","Ploidy"
"1","6/12/2023","red",34,"1",10.4,"",47.48,"Manchester","Mated triploid"
"2","6/12/2023","red",34,"2",7.1,"",41.74,"Manchester","Mated triploid"
"3","6/12/2023","red",34,"3",NA,"",NA,"Manchester","Mated triploid"
"4","6/12/2023","red",34,"4",30.1,"",63.99,"Manchester","Mated triploid"
"5","6/12/2023","red",34,"5",14,"",52.62,"Manchester","Mated triploid"
"6","6/12/2023","red",34,"6",15,"",46.6,"Manchester","Mated triploid"
"7","6/12/2023","red",34,"7",11.8,"",44.35,"Manchester","Mated triploid"
"8","6/12/2023","red",34,"8",15.6,"",47.8,"Manchester","Mated triploid"
"9","6/12/2023","red",34,"9",14.9,"",46.98,"Manchester","Mated triploid"
"10","6/12/2023","red",34,"10",10.9,"",44.59,"Manchester","Mated triploid"
"11","6/12/2023","red",34,"11",9.6,"",46.79,"Manchester","Mated triploid"
"12","6/12/2023","red",34,"12",10.5,"",48.02,"Manchester","Mated triploid"
"13","6/12/2023","red",34,"13",NA,"",NA,"Manchester","Mated triploid"
"14","6/12/2023","red",34,"14",20.5,"",53.22,"Manchester","Mated triploid"
"15","6/12/2023","red",34,"15",11.7,"",46.93,"Manchester","Mated triploid"
"16","6/12/2023","red",34,"16",11.3,"",47.55,"Manchester","Mated triploid"
"17","6/12/2023","red",34,"17",12.3,"",49.8,"Manchester","Mated triploid"
"18","6/12/2023","red",34,"18",NA,NA,NA,"Manchester","Mated triploid"
"19","6/12/2023","red",34,"19",NA,"",NA,"Manchester","Mated triploid"
"20","6/12/2023","red",34,"20",13.8,"",51.11,"Manchester","Mated triploid"
"21","6/12/2023","red",34,"21",21.8,"",60.49,"Manchester","Mated triploid"
"22","6/12/2023","red",34,"22",11.5,"",43.89,"Manchester","Mated triploid"
"23","6/12/2023","red",34,"23",29.7,"",65.4,"Manchester","Mated triploid"
"24","6/12/2023","red",34,"24",11.8,"",55.84,"Manchester","Mated triploid"
"25","6/12/2023","red",34,"25",17.8,"",52.35,"Manchester","Mated triploid"
"26","6/12/2023","red",34,"26",10.2,"",44.19,"Manchester","Mated triploid"
"27","6/12/2023","red",34,"27",NA,NA,NA,"Manchester","Mated triploid"
"28","6/12/2023","red",34,"28",26.3,"",64.02,"Manchester","Mated triploid"
"29","6/12/2023","red",34,"29",NA,NA,NA,"Manchester","Mated triploid"
"30","6/12/2023","red",34,"30",23.2,"",63.17,"Manchester","Mated triploid"
"31","6/12/2023","red",34,"31",18,"",56.5,"Manchester","Mated triploid"
"32","6/12/2023","red",34,"32",13.5,"",52.25,"Manchester","Mated triploid"
"33","6/12/2023","red",34,"33",NA,NA,NA,"Manchester","Mated triploid"
"34","6/12/2023","red",34,"34",19.2,"",53.73,"Manchester","Mated triploid"
"35","6/12/2023","red",34,"35",11.1,"",46.09,"Manchester","Mated triploid"
"36","6/12/2023","red",34,"36",16.1,"",51.12,"Manchester","Mated triploid"
"37","6/12/2023","red",34,"37",11.7,"",39.68,"Manchester","Mated triploid"
"38","6/12/2023","red",34,"38",6.9,"",34.33,"Manchester","Mated triploid"
"39","6/12/2023","red",34,"39",12.1,"",53.64,"Manchester","Mated triploid"
"40","6/12/2023","red",34,"40",8.9,"",43.24,"Manchester","Mated triploid"
"41","6/12/2023","red",34,"41",NA,NA,NA,"Manchester","Mated triploid"
"42","6/12/2023","red",34,"42",NA,NA,NA,"Manchester","Mated triploid"
"43","6/12/2023","red",34,"43",12.9,"",52.29,"Manchester","Mated triploid"
"44","6/12/2023","red",34,"44",20.1,"",58.7,"Manchester","Mated triploid"
"45","6/12/2023","red",34,"45",10,"",42.64,"Manchester","Mated triploid"
"46","6/12/2023","red",34,"46",12.5,"",47.61,"Manchester","Mated triploid"
"47","6/12/2023","red",34,"47",21.6,"",55.82,"Manchester","Mated triploid"
"48","6/12/2023","red",34,"48",9.7,"",40.42,"Manchester","Mated triploid"
"49","6/12/2023","red",34,"49",6.3,"",32.53,"Manchester","Mated triploid"
"50","6/12/2023","red",34,"50",15.7,"",56.51,"Manchester","Mated triploid"
"51","6/12/2023","red",34,"unknown",10.1,"",46.03,"Manchester","Mated triploid"
"52","6/12/2023","red",34,"unknown",7.5,"",40.39,"Manchester","Mated triploid"
"53","6/12/2023","red",34,"unknown",18.6,"",61.86,"Manchester","Mated triploid"
"54","6/12/2023","red",34,"unknown",7.9,"",37.66,"Manchester","Mated triploid"
"55","6/12/2023","red",34,"unknown",12.8,"",48.22,"Manchester","Mated triploid"
"56","6/12/2023","red",34,"unknown",7.7,"",40.38,"Manchester","Mated triploid"
"57","6/12/2023","red",34,"unknown",8.4,"",52.35,"Manchester","Mated triploid"
"58","6/12/2023","red",34,"unknown",9.4,"",47.9,"Manchester","Mated triploid"
"59","6/12/2023","red",34,"unknown",9.4,"",51.62,"Manchester","Mated triploid"
"60","6/12/2023","green",84,"1",9.5,"",43.42,"Manchester","Diploid"
"61","6/12/2023","green",84,"2",8.5,"",41.16,"Manchester","Diploid"
"62","6/12/2023","green",84,"3",7.6,"",38.81,"Manchester","Diploid"
"63","6/12/2023","green",84,"4",7.3,"",40.24,"Manchester","Diploid"
"64","6/12/2023","green",84,"5",6.4,"",39.34,"Manchester","Diploid"
"65","6/12/2023","green",84,"6",11.8,"",47.86,"Manchester","Diploid"
"66","6/12/2023","green",84,"7",7.5,"",38.66,"Manchester","Diploid"
"67","6/12/2023","green",84,"8",34.4,"",67.17,"Manchester","Diploid"
"68","6/12/2023","green",84,"9",NA,NA,NA,"Manchester","Diploid"
"69","6/12/2023","green",84,"10",12.6,"",52.42,"Manchester","Diploid"
"70","6/12/2023","green",84,"11",NA,NA,NA,"Manchester","Diploid"
"71","6/12/2023","green",84,"12",8.5,"",37.51,"Manchester","Diploid"
"72","6/12/2023","green",84,"13",9.8,"",41.34,"Manchester","Diploid"
"73","6/12/2023","green",84,"14",20.7,"",56.9,"Manchester","Diploid"
"74","6/12/2023","green",84,"15",6.9,"",33.2,"Manchester","Diploid"
"75","6/12/2023","green",84,"16",10.1,"",46.15,"Manchester","Diploid"
"76","6/12/2023","green",84,"17",NA,NA,NA,"Manchester","Diploid"
"77","6/12/2023","green",84,"18",9.9,"",47.79,"Manchester","Diploid"
"78","6/12/2023","green",84,"19",9.1,"",43.21,"Manchester","Diploid"
"79","6/12/2023","green",84,"20",15.2,"",48.43,"Manchester","Diploid"
"80","6/12/2023","green",84,"21",9.1,"",44.25,"Manchester","Diploid"
"81","6/12/2023","green",84,"22",NA,NA,NA,"Manchester","Diploid"
"82","6/12/2023","green",84,"23",NA,NA,NA,"Manchester","Diploid"
"83","6/12/2023","green",84,"24",NA,NA,NA,"Manchester","Diploid"
"84","6/12/2023","green",84,"25",11.8,"",46.35,"Manchester","Diploid"
"85","6/12/2023","green",84,"26",10.9,"",45.63,"Manchester","Diploid"
"86","6/12/2023","green",84,"27",10.2,"",45.38,"Manchester","Diploid"
"87","6/12/2023","green",84,"28",8,"",38.9,"Manchester","Diploid"
"88","6/12/2023","green",84,"29",12.4,"",48.88,"Manchester","Diploid"
"89","6/12/2023","green",84,"30",9.2,"",42.76,"Manchester","Diploid"
"90","6/12/2023","green",84,"31",12.5,"",54.37,"Manchester","Diploid"
"91","6/12/2023","green",84,"32",8,"",40.6,"Manchester","Diploid"
"92","6/12/2023","green",84,"33",8.1,"",39.19,"Manchester","Diploid"
"93","6/12/2023","green",84,"34",13.4,"",47.37,"Manchester","Diploid"
"94","6/12/2023","green",84,"35",NA,NA,NA,"Manchester","Diploid"
"95","6/12/2023","green",84,"36",NA,NA,NA,"Manchester","Diploid"
"96","6/12/2023","green",84,"37",NA,NA,NA,"Manchester","Diploid"
"97","6/12/2023","green",84,"38",11.7,"",46.41,"Manchester","Diploid"
"98","6/12/2023","green",84,"39",9.7,"",41.42,"Manchester","Diploid"
"99","6/12/2023","green",84,"40",9.6,"",43.09,"Manchester","Diploid"
"100","6/12/2023","green",84,"41",NA,NA,NA,"Manchester","Diploid"
"101","6/12/2023","green",84,"42",NA,NA,NA,"Manchester","Diploid"
"102","6/12/2023","green",84,"43",12.4,"",47.4,"Manchester","Diploid"
"103","6/12/2023","green",84,"44",NA,NA,NA,"Manchester","Diploid"
"104","6/12/2023","green",84,"45",9.9,"",43.42,"Manchester","Diploid"
"105","6/12/2023","green",84,"46",13.3,"",44.76,"Manchester","Diploid"
"106","6/12/2023","green",84,"47",11.1,"",47.63,"Manchester","Diploid"
"107","6/12/2023","green",84,"48",12.6,"",51.2,"Manchester","Diploid"
"108","6/12/2023","green",84,"49",8.1,"",35.78,"Manchester","Diploid"
"109","6/12/2023","green",84,"50",6.6,"",34.15,"Manchester","Diploid"
"110","6/12/2023","green",84,"unknown",26.6,"",89.79,"Manchester","Diploid"
"111","6/12/2023","green",84,"unknown",13.5,"",44.39,"Manchester","Diploid"
"112","6/12/2023","green",84,"unknown",11.2,"",43.15,"Manchester","Diploid"
"113","6/12/2023","green",84,"unknown",10.9,"",48.2,"Manchester","Diploid"
"114","6/12/2023","green",84,"unknown",21.5,"",91.74,"Manchester","Diploid"
"115","6/12/2023","green",84,"unknown",13.7,"",47.58,"Manchester","Diploid"
"116","6/12/2023","green",84,"unknown",15.7,"",86.47,"Manchester","Diploid"
"117","6/12/2023","green",84,"unknown",8.7,"",41.71,"Manchester","Diploid"
"118","6/12/2023","green",84,"unknown",9,"",46.96,"Manchester","Diploid"
"119","6/12/2023","green",84,"unknown",7.9,"",38.15,"Manchester","Diploid"
"120","6/12/2023","green",84,"unknown",6.7,"",38.55,"Manchester","Diploid"
"121","6/12/2023","green",60,"1",20.9,"",57.19,"Manchester","Diploid"
"122","6/12/2023","green",60,"2",12,"",45.59,"Manchester","Diploid"
"123","6/12/2023","green",60,"3",8.5,"",53.52,"Manchester","Diploid"
"124","6/12/2023","green",60,"4",8.1,"",42.5,"Manchester","Diploid"
"125","6/12/2023","green",60,"5",9.8,"",44.56,"Manchester","Diploid"
"126","6/12/2023","green",60,"6",7.1,"",38.15,"Manchester","Diploid"
"127","6/12/2023","green",60,"7",5.9,"",40.35,"Manchester","Diploid"
"128","6/12/2023","green",60,"8",6.6,"",34.78,"Manchester","Diploid"
"129","6/12/2023","green",60,"9",8.4,"",40.35,"Manchester","Diploid"
"130","6/12/2023","green",60,"10",6.9,"",33.51,"Manchester","Diploid"
"131","6/12/2023","green",60,"11",3.7,"",35.63,"Manchester","Diploid"
"132","6/12/2023","green",60,"12",12.6,"",44.89,"Manchester","Diploid"
"133","6/12/2023","green",60,"13",7.9,"",37.83,"Manchester","Diploid"
"134","6/12/2023","green",60,"14",12.7,"",50.65,"Manchester","Diploid"
