"","Date","Bag.colour","Bag.number","Tag.number","Mass","Mass.unit","Height","Site","Ploidy"
"1","6/5/2023","green",83,"51",8.7,"",39.27,"Thorndyke","Diploid"
"2","6/5/2023","green",83,"52",8,"",40.7,"Thorndyke","Diploid"
"3","6/5/2023","green",83,"53",7.8,"",45.9,"Thorndyke","Diploid"
"4","6/5/2023","green",83,"54",4.8,"",40.15,"Thorndyke","Diploid"
"5","6/5/2023","green",83,"55",NA,NA,NA,"Thorndyke","Diploid"
"6","6/5/2023","green",83,"56",5.2,"",35.59,"Thorndyke","Diploid"
"7","6/5/2023","green",83,"57",10.8,"",50.93,"Thorndyke","Diploid"
"8","6/5/2023","green",83,"58",NA,NA,NA,"Thorndyke","Diploid"
"9","6/5/2023","green",83,"59",4.7,"",41.95,"Thorndyke","Diploid"
"10","6/5/2023","green",83,"60",9.2,"",42.43,"Thorndyke","Diploid"
"11","6/5/2023","green",83,"61",NA,"",NA,"Thorndyke","Diploid"
"12","6/5/2023","green",83,"62",7.6,"",0.03,"Thorndyke","Diploid"
"13","6/5/2023","green",83,"63",7.7,"",43.22,"Thorndyke","Diploid"
"14","6/5/2023","green",83,"64",7.2,"",40.95,"Thorndyke","Diploid"
"15","6/5/2023","green",83,"65",NA,"",NA,"Thorndyke","Diploid"
"16","6/5/2023","green",83,"66",NA,"",NA,"Thorndyke","Diploid"
"17","6/5/2023","green",83,"67",7.1,"",42.66,"Thorndyke","Diploid"
"18","6/5/2023","green",83,"68",6.5,"",37.75,"Thorndyke","Diploid"
"19","6/5/2023","green",83,"69",12.4,"",54.2,"Thorndyke","Diploid"
"20","6/5/2023","green",83,"70",7.4,"",37.19,"Thorndyke","Diploid"
"21","6/5/2023","green",83,"71",5.1,"",39.64,"Thorndyke","Diploid"
"22","6/5/2023","green",83,"72",11.6,"",45.35,"Thorndyke","Diploid"
"23","6/5/2023","green",83,"73",12.5,"",43.75,"Thorndyke","Diploid"
"24","6/5/2023","green",83,"74",7.8,"",42.44,"Thorndyke","Diploid"
"25","6/5/2023","green",83,"75",5.8,"",36.31,"Thorndyke","Diploid"
"26","6/5/2023","green",83,"76",NA,"",NA,"Thorndyke","Diploid"
"27","6/5/2023","green",83,"77",7.7,"",39.96,"Thorndyke","Diploid"
"28","6/5/2023","green",83,"78",NA,"",NA,"Thorndyke","Diploid"
"29","6/5/2023","green",83,"79",11.7,"",50.78,"Thorndyke","Diploid"
"30","6/5/2023","green",83,"80",6.2,"",41.71,"Thorndyke","Diploid"
"31","6/5/2023","green",83,"81",13.8,"",48.15,"Thorndyke","Diploid"
"32","6/5/2023","green",83,"82",13.3,"",50.71,"Thorndyke","Diploid"
"33","6/5/2023","green",83,"83",10.9,"",44.64,"Thorndyke","Diploid"
"34","6/5/2023","green",83,"84",NA,"",NA,"Thorndyke","Diploid"
"35","6/5/2023","green",83,"85",11.5,"",41.68,"Thorndyke","Diploid"
"36","6/5/2023","green",83,"86",7,"",37.75,"Thorndyke","Diploid"
"37","6/5/2023","green",83,"87",7.4,"",42,"Thorndyke","Diploid"
"38","6/5/2023","green",83,"88",12.7,"",42.44,"Thorndyke","Diploid"
"39","6/5/2023","green",83,"89",9.1,"",45.11,"Thorndyke","Diploid"
"40","6/5/2023","green",83,"90",6.8,"",38.33,"Thorndyke","Diploid"
"41","6/5/2023","green",83,"91",8.9,"",45.99,"Thorndyke","Diploid"
"42","6/5/2023","green",83,"92",NA,"",NA,"Thorndyke","Diploid"
"43","6/5/2023","green",83,"93",12.1,"",52.95,"Thorndyke","Diploid"
"44","6/5/2023","green",83,"94",10.6,"",40.07,"Thorndyke","Diploid"
"45","6/5/2023","green",83,"95",NA,"",NA,"Thorndyke","Diploid"
"46","6/5/2023","green",83,"96",7.7,"",36.39,"Thorndyke","Diploid"
"47","6/5/2023","green",83,"97",12.8,"",44.96,"Thorndyke","Diploid"
"48","6/5/2023","green",83,"98",7.5,"",43.56,"Thorndyke","Diploid"
"49","6/5/2023","green",83,"99",7.6,"",47.09,"Thorndyke","Diploid"
"50","6/5/2023","green",83,"100",10.1,"",45.36,"Thorndyke","Diploid"
"51","6/5/2023","green",83,"Unknown",11.1,"",47.08,"Thorndyke","Diploid"
"52","6/5/2023","green",83,"Unknown",12.1,"",44.33,"Thorndyke","Diploid"
"53","6/5/2023","green",83,"Unknown",19.1,"",55.87,"Thorndyke","Diploid"
"54","6/5/2023","green",83,"Unknown",10.4,"",45.7,"Thorndyke","Diploid"
"55","6/5/2023","green",83,"Unknown",8.7,"",45.69,"Thorndyke","Diploid"
"56","6/5/2023","green",83,"Unknown",9.8,"",47.38,"Thorndyke","Diploid"
"57","6/5/2023","green",83,"Unknown",11.1,"",46.26,"Thorndyke","Diploid"
"58","6/5/2023","green",83,"Unknown",12.7,"",54.41,"Thorndyke","Diploid"
"59","6/5/2023","green",97,"1",7.1,"",37.48,"Thorndyke","Diploid"
"60","6/5/2023","green",97,"2",7.8,"",41.89,"Thorndyke","Diploid"
"61","6/5/2023","green",97,"3",NA,"",NA,"Thorndyke","Diploid"
"62","6/5/2023","green",97,"4",NA,"",NA,"Thorndyke","Diploid"
"63","6/5/2023","green",97,"5",4.7,"",44.26,"Thorndyke","Diploid"
"64","6/5/2023","green",97,"6",4.5,"",28,"Thorndyke","Diploid"
"65","6/5/2023","green",97,"7",9.1,"",46.69,"Thorndyke","Diploid"
"66","6/5/2023","green",97,"8",NA,"",NA,"Thorndyke","Diploid"
"67","6/5/2023","green",97,"9",12.4,"",42.91,"Thorndyke","Diploid"
"68","6/5/2023","green",97,"10",6.5,"",38.33,"Thorndyke","Diploid"
"69","6/5/2023","green",97,"11",NA,"",NA,"Thorndyke","Diploid"
