"","Respirometry.number","run","probe","Date","Time","Chamber","Site","Colour","Bag.Number","Mass","Length","file.letter","Run","Notes","rate","bgrd_rate","corrected_rate","positve","Oyster.tissue.dry.mass","standardized_rate","Ploidy"
"1","100",16,5,7182023,1430,5,"Hood Head","blue","84",NA,NA,"b",16,"probe was too close to the oyster for the first part",-1.128251925,-0.038875189,-1.089376736,FALSE,1.2902,-0.844347183382421,"Induced triploid"
"2","101",16,8,7182023,1430,8,"Hood Head","green","78",NA,NA,"b",16,"",-1.220109545,-0.038875189,-1.181234356,FALSE,1.4304,-0.825807016219239,"Diploid"
"3","102",16,9,7182023,1430,9,"Hood Head","red","47",NA,NA,"b",16,"",-0.889976883,-0.038875189,-0.851101694,FALSE,1.8304,-0.464981257648601,"Mated triploid"
"4","103",17,1,7182023,1630,1,"Hood Head","blue","86",NA,NA,"c",17,"",-1.477044949,-0.022901965,-1.454142984,FALSE,2.8785,-0.505173869723815,"Induced triploid"
"5","104",17,2,7182023,1630,2,"Hood Head","green","54",NA,NA,"c",17,"",-0.844685731,-0.022901965,-0.821783766,FALSE,0.9719,-0.845543539458792,"Diploid"
"6","105",17,4,7182023,1630,4,"Hood Head","red","32",NA,NA,"c",17,"",-1.454473797,-0.022901965,-1.431571832,FALSE,3.7768,-0.379043590341029,"Mated triploid"
"7","106",17,5,7182023,1630,5,"Hood Head","blue","84",NA,NA,"c",17,"",-1.611491279,-0.022901965,-1.588589314,FALSE,1.5584,-1.01937199306982,"Induced triploid"
"8","107",17,8,7182023,1630,8,"Hood Head","green","78",NA,NA,"c",17,"",-1.140163078,-0.022901965,-1.117261113,FALSE,1.3688,-0.816234010081824,"Diploid"
"9","108",18,2,7192023,1030,2,"Hood Head","blue","85",NA,NA,"a",18,"",-1.663179303,-0.20851616,-1.454663143,FALSE,3.0554,-0.476095811677685,"Induced triploid"
"10","109",18,4,7192023,1030,4,"Hood Head","red","38",NA,NA,"a",18,"",-1.31896768,-0.20851616,-1.11045152,FALSE,2.2664,-0.489962725026474,"Mated triploid"
"11","11",2,8,7072023,1229,8,"Thorndyke","green","82",NA,NA,"b",2,"",-0.293023677,-0.074903161,-0.218120516,FALSE,0.8701,-0.250684422480175,"Diploid"
"12","110",18,5,7192023,1030,5,"Hood Head","blue","84",NA,NA,"a",18,"",-0.95748124,-0.20851616,-0.74896508,FALSE,1.034,-0.724337601547389,"Induced triploid"
"13","111",18,8,7192023,1030,8,"Hood Head","blue","86",NA,NA,"a",18,"",-0.875858488,-0.20851616,-0.667342328,FALSE,2.2524,-0.29628055762742,"Induced triploid"
"14","112",18,9,7192023,1030,9,"Hood Head","red","32",NA,NA,"a",18,"",-0.90010748,-0.20851616,-0.69159132,FALSE,2.0975,-0.329721725864124,"Mated triploid"
