Date,Time,Chamber,Site,Colour,Bag Number,Mass,Length,file letter,Run,Respirometry number,Notes
7072023,1136,1,Thorndyke,Blank,,,,a,1,1,battery died at around 1200
7072023,1136,2,Thorndyke,Green,90,,,a,1,2,
7072023,1136,4,Thorndyke,Blue,35,,,a,1,3,
7072023,1136,5,Thorndyke,Green,82,,,a,1,4,
7072023,1136,8,Thorndyke,Red,7,,,a,1,5,
7072023,1136,9,Thorndyke,Blue ,35,,,a,1,6,
7072023,1229,1,Thorndyke,Blue,35,,,b,2,7,battery died again about 33 minutes in 
7072023,1229,2,Thorndyke,Green,90,,,b,2,8,
7072023,1229,4,Thorndyke,Green,82,,,b,2,9,
7072023,1229,5,Thorndyke,Blank,,,,b,2,10,
7072023,1229,8,Thorndyke,Green,82,,,b,2,11,
7072023,1229,9,Thorndyke,Red,7,,,b,2,12,
7072023,1342,1,Thorndyke,Red,6,,,c,3,13,battery stopped around 6 mins but started again
7072023,1342,2,Thorndyke,Blank,,,,c,3,14,
7072023,1342,4,Thorndyke,Green ,90,,,c,3,15,
7072023,1342,5,Thorndyke,Red,7,,,c,3,16,
7072023,1342,8,Thorndyke,Blue,71,,,c,3,17,
7072023,1342,9,Thorndyke,Blue,56,,,c,3,18,
7072023,,1,Thorndyke,Blue,71,,,d,4,19,"stopped spinning, started again at 40 mins"
7072023,,2,Thorndyke,Red,6,,,d,4,20,
7072023,,4,Thorndyke,Blank,,,,d,4,21,
7072023,,5,Thorndyke,Red,6,,,d,4,22,
7072023,,7,Thorndyke,Blue,56,,,d,4,23,"stopped spinning, started again at 40 mins"
7072023,,8,Thorndyke,Blue,56,,,d,4,24,
7072023,,9,Thorndyke,Red,4,,,d,4,25,"stopped spinning, started again at 40 mins"
7072023,,1,Thorndyke,Red,4,,,e,5,26,
7072023,,2,Thorndyke,Red,4,,,e,5,27,
7072023,,4,Thorndyke,Blue,71,,,e,5,28,
7072023,,5,Chelsea,Red,43,,,e,5,29,
7072023,,7,Chelsea,Blank,Blank,,,e,5,30,
7072023,,8,Chelsea,Red,42,,,e,5,31,
7072023,,9,Chelsea,Blue,59,,,e,5,32,
7102023,1043,1,Chelsea,Blue,51,,,a,6,33,
7102023,1043,2,Chelsea,Red,42,,,a,6,34,
7102023,1043,4,Chelsea,Blank,Blank,,,a,6,35,
7102023,1043,5,Chelsea,Red,41,,,a,6,36,
7102023,1043,7,Chelsea,Red,41,,,a,6,37,moved probe at ~15 mins
7102023,1043,8,Chelsea,Green,53,,,a,6,38,
7102023,1043,9,Chelsea,Blue,62,,,a,6,39,
7102023,1359,1,Chelsea,Green,53,,,b,7,40,
7102023,1359,2,Chelsea,Red,42,,,b,7,41,
7102023,1359,4,Chelsea,Green,52,,,b,7,42,
7102023,1359,5,Chelsea,Blue,62,,,b,7,43,
7102023,1359,7,Chelsea,Blue,58,,,b,7,44,
7102023,1359,8,Chelsea,Red,41,,,b,7,45,
7102023,1359,9,Chelsea,Blank,Blank,,,b,7,46,
7102023,,1,Chelsea,Blue,51,,,c,8,47,
7102023,,2,Chelsea,Blue,59,,,c,8,48,
7102023,,4,Chelsea,Green,52,,,c,8,49,
7102023,,5,Chelsea,Green,53,,,c,8,50,no clue what happened with ch 5 -- redoing in the next run
