probe,run,Date,Time,Chamber,Site,Colour,Bag.Number,Mass,Length,file.letter,Run,Respirometry.number,Notes,rate
1,1,6072023,1200,1,Thordyke,Blue,35,NA,NA,b,1,1,note a file had too many flat batteries,-0.512153553
2,1,6072023,1200,2,Thordyke,Red,4,NA,NA,b,1,2,,-0.584365323
4,1,6072023,1200,4,Thordyke,Blank,Blank,NA,NA,b,1,4,,-0.100841034
5,1,6072023,1200,5,Thordyke,Red,5,NA,NA,b,1,5,,-0.82846249
8,1,6072023,1200,8,Thordyke,Red,5,NA,NA,b,1,8,,-0.790206939
9,1,6072023,1200,9,Thordyke,Red,4,NA,NA,b,1,9,,-0.530120457
1,2,6072023,NA,1,Thordyke,Blue,35,NA,NA,c,2,10,,-0.692413405
2,2,6072023,NA,2,Thordyke,Red,6,NA,NA,c,2,11,,-0.726926144
4,2,6072023,NA,4,Thordyke,Blue,71,NA,NA,c,2,12,,-0.286936149
5,2,6072023,NA,5,Thordyke,Green,82,NA,NA,c,2,13,,-0.813798034
8,2,6072023,NA,8,Thordyke,Green,82,NA,NA,c,2,15,,-0.259913309
9,2,6072023,NA,9,Thordyke,Blue,71,NA,NA,c,2,16,,-0.594615876
1,3,6082023,1000,1,Thordyke,Blank,Blank,NA,NA,a,3,17,Note that this is a repeat of last nights run,-0.148685689
2,3,6082023,1000,2,Thordyke,Green,82,NA,NA,a,3,18,,-0.000400756
4,3,6082023,1000,4,Thordyke,Blue,50,NA,NA,a,3,19,,0.014210304
5,3,6082023,1000,5,Thordyke,Blue,50,NA,NA,a,3,20,,0.001704675
7,3,6082023,1000,7,Thordyke,Green,90,NA,NA,a,3,21,,-0.000451412
8,3,6082023,1000,8,Thordyke,Green,90,NA,NA,a,3,22,,-0.027227097
9,3,6082023,1000,9,Thordyke,Green,90,NA,NA,a,3,23,,-0.153195218
1,4,6082023,1145,1,Chelsea,Blue,51,NA,NA,b,4,24,,-0.507998233
2,4,6082023,1145,2,Chelsea,Green,52,NA,NA,b,4,25,,-0.481930004
4,4,6082023,1145,4,Chelsea,Red,31,NA,NA,b,4,26,,-0.731614974
5,4,6082023,1145,5,Chelsea,Blank,Blank,NA,NA,b,4,27,,-0.267339091
7,4,6082023,1145,7,Chelsea,Red,31,NA,NA,b,4,28,,-0.483818388
8,4,6082023,1145,8,Chelsea,Green,52,NA,NA,b,4,29,,-0.223857297
9,4,6082023,1145,9,Chelsea,Green,62,NA,NA,b,4,30,,-0.478882047
1,5,6082023,1346,1,Chelsea,Blue,59,NA,NA,d,5,31,D is a repeat of c,-0.517829451
2,5,6082023,1346,2,Chelsea,Green,62,NA,NA,d,5,32,Battery went flat at 30 minute mark,-0.135057674
4,5,6082023,1346,4,Chelsea,Blue,59,NA,NA,d,5,33,,-0.541950064
5,5,6082023,1346,5,Chelsea,Blue,55,NA,NA,d,5,34,,-0.612339124
7,5,6082023,1346,7,Chelsea,Green,52,NA,NA,d,5,35,,-0.231903034
8,5,6082023,1346,8,Chelsea,Blank,Blank,NA,NA,d,5,36,,-0.130314742
9,5,6082023,1346,9,Chelsea,Blue,51,NA,NA,d,5,37,,-0.375455471
1,6,6082023,1506,1,Chelsea,Red,43,NA,NA,e,6,38,,-0.213063183
2,6,6082023,1506,2,Chelsea,Blue,55,NA,NA,e,6,39,,-0.582243207
4,6,6082023,1506,4,Chelsea,Blank,Blank,NA,NA,e,6,40,,-0.362126427
5,6,6082023,1506,5,Chelsea,Red,43,NA,NA,e,6,41,,-0.316896723
7,6,6082023,1506,7,Chelsea,Red,41,NA,NA,e,6,42,,-0.185463696
8,6,6082023,1506,8,Chelsea,Blue,51,NA,NA,e,6,43,,-0.290470274
9,6,6082023,1506,9,Chelsea,Red,41,NA,NA,e,6,44,,-0.564805157
1,7,6082023,1630,1,Chelsea,Green,62,NA,NA,f ,7,45,,-0.359524681
2,7,6082023,1630,2,Chelsea,Green,53,NA,NA,f ,7,46,,-0.359441158
4,7,6082023,1630,4,Chelsea,Green ,35,NA,NA,f ,7,47,,-0.407195081
5,7,6082023,1630,5,Chelsea,Green ,53,NA,NA,f ,7,48,,-0.611908644
7,7,6082023,1630,7,Chelsea,Blank,Blank,NA,NA,f ,7,49,,-0.117911397
8,7,6082023,1630,8,Chelsea,Red,31,NA,NA,f ,7,50,,-0.476160118
9,7,6082023,1630,9,Chelsea,Blue,59,NA,NA,f ,7,51,,-0.592326614
1,8,6132023,1200,1,Manchester,Blank,Blank,NA,NA,a,8,52,,-0.036385404
4,8,6132023,NA,4,Manchester,green,95,NA,NA,a,8,53,,-0.36394929
7,8,6132023,NA,7,Manchester,green,76,NA,NA,a,8,54,,-0.164903676
9,8,6132023,NA,9,Manchester,red,12,NA,NA,a,8,55,,-0.056661483
1,9,6132023,1430,1,Manchester,red,14,NA,NA,c,9,56,,-0.106061542
2,9,6132023,1430,2,Manchester,blue,57,NA,NA,c,9,57,same oyster as from chamber 2 in last run,-0.086609624
4,9,6132023,1430,4,Manchester,blank,blank,NA,NA,c,9,58,,-0.043351061
7,9,6132023,1430,7,Manchester,green,92,NA,NA,c,9,59,same oyster as from chamber 5 in last run,-0.296006887
9,9,6132023,1430,9,Manchester,blue,30,NA,NA,c,9,60,same oyster as from chamber 8 in last run,-0.091747807
1,10,6132023,1745,1,Manchester,red,13,NA,NA,d,10,61,,-0.347709523
2,10,6132023,1745,2,Manchester,blank,blank,NA,NA,d,10,62,,-0.048414876
4,10,6132023,1745,4,Manchester,red,12,NA,NA,d,10,63,,-0.213565378
7,10,6132023,1745,7,Manchester,green,76,NA,NA,d,10,64,,-0.493834782
9,10,6132023,1745,9,Manchester,red,13,NA,NA,d,10,65,,-0.349527114
1,11,6142023,900,1,Manchester,blue,57,NA,NA,bb,11,66,,-0.122900214
2,11,6142023,900,2,Manchester,blue,30,NA,NA,bb,11,67,,-0.472528116
4,11,6142023,900,4,Manchester,red,14,NA,NA,bb,11,68,,-0.148395622
7,11,6142023,900,7,Manchester,green,92,NA,NA,bb,11,69,,-0.093362937
8,11,6142023,900,8,Manchester,green,95,NA,NA,bb,11,70,,-0.068199008
9,11,6142023,900,9,Manchester,blank,blank,NA,NA,bb,11,71,,-0.052794166
1,12,6142023,1200,1,Manchester,blue,33,NA,NA,c,12,72,,-0.100587774
2,12,6142023,1200,2,Manchester,blue,30,NA,NA,c,12,73,,-0.144130053
4,12,6142023,1200,4,Manchester,blue,33,NA,NA,c,12,74,I dont know what the second drop off on the graph is but the mag bar was spinning the whole time,-0.109627436
7,12,6142023,1200,7,Manchester,green,92,NA,NA,c,12,75,,-0.078731952
8,12,6142023,1200,8,Manchester,blank,blank,NA,NA,c,12,76,,-0.030563298
9,12,6142023,1200,9,Manchester,red,14,NA,NA,c,12,77,The graph on this one looks weird but it's bc I had the sensor out of the water right at the start,-0.108691176
1,13,6192023,1208,1,Hood Head,Blue,84,NA,NA,a,13,78,,-0.444794214
2,13,6192023,1208,2,Hood Head,red,47,NA,NA,a,13,79,,-0.839452464
4,13,6192023,1208,4,Hood Head,Green ,78,NA,NA,a,13,80,,-0.680097328
7,13,6192023,1208,7,Hood Head,Red,37,NA,NA,a,13,82,,-0.531155245
8,13,6192023,1208,8,Hood Head,Blank,,NA,NA,a,13,83,,-0.384540974
9,13,6192023,1208,9,Hood Head,Green,87,NA,NA,a,13,84,,-2.3921619
1,14,6192023,1330,1,Hood Head,Blank,,NA,NA,b,14,85,,-1.043906977
2,14,6192023,1330,2,Hood Head,Red,38,NA,NA,b,14,86,,-6.619317524
4,14,6192023,1330,4,Hood Head,Blue,85,NA,NA,b,14,87,,-0.631262462
7,14,6192023,1330,7,Hood Head,Red ,32,NA,NA,b,14,88,,-1.083215075
8,14,6192023,1330,8,Hood Head,Green,78,NA,NA,b,14,89,,0.480714396
9,14,6192023,1330,9,Hood Head,Blue,84,NA,NA,b,14,90,,-13.59665506
1,15,6192023,1440,1,Hood Head,Green,87,NA,NA,c,15,91,,-1.155623013
2,15,6192023,1440,2,Hood Head,red,38,NA,NA,c,15,92,,-0.843016096
4,15,6192023,1440,4,Hood Head,Blue,85,NA,NA,c,15,93,,-1.234402633
7,15,6192023,1440,7,Hood Head,Blank,,NA,NA,c,15,94,,-0.039428735
8,15,6192023,1440,8,Hood Head,Red,47,NA,NA,c,15,95,,-0.068150269
9,15,6192023,1440,9,Hood Head,Red,32,NA,NA,c,15,96,,-2.133728433
1,16,6192023,1600,1,Hood Head,Green,54,NA,NA,d,16,97,,-1.045215981
2,16,6192023,1600,2,Hood Head,Blank,,NA,NA,d,16,98,,-0.033096605
4,16,6192023,1600,4,Hood Head,Blue,85,NA,NA,d,16,99,,-0.562803194
7,16,6192023,1600,7,Hood Head,Red,47,NA,NA,d,16,100,,-1.012034116
8,16,6192023,1600,8,Hood Head,Red,38,NA,NA,d,16,101,,-0.034977466
9,16,6192023,1600,9,Hood Head,Green,78,NA,NA,d,16,102,,-0.063973736
1,17,6192023,1700,1,Hood Head,Blue,86,NA,NA,e,17,103,,-2.093500219
2,17,6192023,1700,2,Hood Head,Green,54,NA,NA,e,17,104,,-0.287379871
7,17,6192023,1700,7,Hood Head,Blue,84,NA,NA,e,17,106,,-1.415782075
8,17,6192023,1700,8,Hood Head,Blank,,NA,NA,e,17,107,,-0.025940144
