"","Respirometry.number","run","probe","Date","Time","Chamber","Site","Colour","Bag.Number","Mass","Length","file.letter","Run","Notes","rate","bgrd_rate","corrected_rate","Oyster.tissue.dry.mass","standardized_rate","positive","Ploidy"
"1",1,1,1,6072023,1200,1,"Thorndyke","blue","35",NA,NA,"b",1,"note a file had too many flat batteries",-0.512153553,-0.100841034,-0.411312519,0.8359,-0.492059479602823,FALSE,"Induced triploid"
"2",2,1,2,6072023,1200,2,"Thorndyke","red","4",NA,NA,"b",1,"",-0.584365323,-0.100841034,-0.483524289,1.3376,-0.361486460077751,FALSE,"Mated triploid"
"3",5,1,5,6072023,1200,5,"Thorndyke","red","5",NA,NA,"b",1,"",-0.82846249,-0.100841034,-0.727621456,1.2198,-0.59650881783899,FALSE,"Mated triploid"
"4",8,1,8,6072023,1200,8,"Thorndyke","red","5",NA,NA,"b",1,"",-0.790206939,-0.100841034,-0.689365905,0.7456,-0.924578735246781,FALSE,"Mated triploid"
"5",9,1,9,6072023,1200,9,"Thorndyke","red","4",NA,NA,"b",1,"",-0.530120457,-0.100841034,-0.429279423,0.9572,-0.448474115127455,FALSE,"Mated triploid"
"6",10,2,1,6072023,NA,1,"Thorndyke","blue","35",NA,NA,"c",2,"",-0.692413405,-0.206590912775579,-0.485822492224422,0.9569,-0.507704558704589,FALSE,"Induced triploid"
"7",11,2,2,6072023,NA,2,"Thorndyke","red","6",NA,NA,"c",2,"",-0.726926144,-0.206590912775579,-0.520335231224421,0.9083,-0.57286714876629,FALSE,"Mated triploid"
"8",12,2,4,6072023,NA,4,"Thorndyke","blue","71",NA,NA,"c",2,"",-0.286936149,-0.206590912775579,-0.0803452362244215,1.129,-0.0711649567975389,FALSE,"Induced triploid"
"9",13,2,5,6072023,NA,5,"Thorndyke","green","82",NA,NA,"c",2,"",-0.813798034,-0.206590912775579,-0.607207121224421,0.5656,-1.07356280273059,FALSE,"Diploid"
"10",16,2,9,6072023,NA,9,"Thorndyke","blue","71",NA,NA,"c",2,"",-0.594615876,-0.206590912775579,-0.388024963224421,0.5746,-0.675295793986115,FALSE,"Induced triploid"
"11",18,3,2,6072023,1700,2,"Thorndyke","green","82",NA,NA,"d",3,"",-0.336408127539569,-0.312340791551157,-0.024067335988412,0.6799,-0.0353983467986645,FALSE,"Diploid"
"12",19,3,4,6072023,1700,4,"Thorndyke","blue","50",NA,NA,"d",3,"",-2.2955908450427,-0.312340791551157,-1.98325005349154,0.8294,-2.39118646430135,FALSE,"Induced triploid"
"13",20,3,5,6072023,1700,5,"Thorndyke","blue","50",NA,NA,"d",3,"",-0.63339546618044,-0.312340791551157,-0.321054674629283,0.518,-0.6197966691685,FALSE,"Induced triploid"
"14",21,3,7,6072023,1700,7,"Thorndyke","green","90",NA,NA,"d",3,"",-0.6680146117608,-0.312340791551157,-0.355673820209643,0.8868,-0.401075575337892,FALSE,"Diploid"
"15",23,3,9,6072023,1700,9,"Thorndyke","green","90",NA,NA,"d",3,"",-0.478910015183272,-0.312340791551157,-0.166569223632115,0.5613,-0.296756144008756,FALSE,"Diploid"
"16",24,4,1,6082023,1145,1,"Chelsea","blue","51",NA,NA,"b",4,"",-0.507998233,-0.267339091,-0.240659142,0.7788,-0.309012765793529,FALSE,"Induced triploid"
"17",25,4,2,6082023,1145,2,"Chelsea","green","52",NA,NA,"b",4,"",-0.481930004,-0.267339091,-0.214590913,0.2997,-0.716019062395729,FALSE,"Diploid"
"18",26,4,4,6082023,1145,4,"Chelsea","red","31",NA,NA,"b",4,"",-0.731614974,-0.267339091,-0.464275883,0.9205,-0.504373582835416,FALSE,"Mated triploid"
"19",28,4,7,6082023,1145,7,"Chelsea","red","31",NA,NA,"b",4,"",-0.483818388,-0.267339091,-0.216479297,0.6159,-0.351484489365157,FALSE,"Mated triploid"
"20",30,4,9,6082023,1145,9,"Chelsea","green","62",NA,NA,"b",4,"",-0.478882047,-0.267339091,-0.211542956,0.3527,-0.599781559398922,FALSE,"Diploid"
"21",31,5,1,6082023,1346,1,"Chelsea","blue","59",NA,NA,"d",5,"D is a repeat of c",-0.517829451,-0.130314742,-0.387514709,0.8966,-0.432204672094579,FALSE,"Induced triploid"
"22",32,5,2,6082023,1346,2,"Chelsea","green","62",NA,NA,"d",5,"Battery went flat at 30 minute mark",-0.135057674,-0.130314742,-0.00474293199999998,0.3603,-0.0131638412434082,FALSE,"Diploid"
"23",33,5,4,6082023,1346,4,"Chelsea","blue","59",NA,NA,"d",5,"",-0.541950064,-0.130314742,-0.411635322,0.5797,-0.710083356908746,FALSE,"Induced triploid"
"24",34,5,5,6082023,1346,5,"Chelsea","blue","55",NA,NA,"d",5,"",-0.612339124,-0.130314742,-0.482024382,0.6559,-0.734905293489861,FALSE,"Induced triploid"
"25",35,5,7,6082023,1346,7,"Chelsea","green","52",NA,NA,"d",5,"",-0.231903034,-0.130314742,-0.101588292,0.3003,-0.338289350649351,FALSE,"Diploid"
