"","Respirometry.number","run","probe","Date","Time","Chamber","Site","Colour","Bag.Number","Mass","Length","file.letter","Run","Notes","rate","bgrd_rate","corrected_rate","Oyster.tissue.dry.mass","standardized_rate","positive"
"1",1,1,1,6072023,1200,1,"Thordyke","blue","35",NA,NA,"b",1,"note a file had too many flat batteries",-0.510638948,-0.10055112,-0.410087828,0.8359,-0.490594362962077,FALSE
"2",2,1,2,6072023,1200,2,"Thordyke","red","4",NA,NA,"b",1,"",-0.591856769,-0.10055112,-0.491305649,1.3376,-0.367303864383971,FALSE
"3",5,1,5,6072023,1200,5,"Thordyke","red","5",NA,NA,"b",1,"",-0.841357914,-0.10055112,-0.740806794,1.2198,-0.607318243974422,FALSE
"4",8,1,8,6072023,1200,8,"Thordyke","red","5",NA,NA,"b",1,"",-0.83238316,-0.10055112,-0.73183204,0.7456,-0.981534388412017,FALSE
"5",9,1,9,6072023,1200,9,"Thordyke","red","4",NA,NA,"b",1,"",-0.536260093,-0.10055112,-0.435708973,0.9572,-0.455191154408692,FALSE
"6",10,2,1,6072023,NA,1,"Thordyke","blue","35",NA,NA,"c",2,"",-0.692413405,-0.1161687055,-0.5762446995,0.9569,-0.602199497857665,FALSE
"7",11,2,2,6072023,NA,2,"Thordyke","red","6",NA,NA,"c",2,"",-0.726926144,-0.1161687055,-0.6107574385,0.9083,-0.672418186171969,FALSE
"8",12,2,4,6072023,NA,4,"Thordyke","blue","71",NA,NA,"c",2,"",-0.286936149,-0.1161687055,-0.1707674435,1.129,-0.151255485828167,FALSE
"9",13,2,5,6072023,NA,5,"Thordyke","green","82",NA,NA,"c",2,"",-0.813798034,-0.1161687055,-0.6976293285,0.5656,-1.23343233468883,FALSE
"10",16,2,9,6072023,NA,9,"Thordyke","blue","71",NA,NA,"c",2,"",-0.594615876,-0.1161687055,-0.4784471705,0.5746,-0.832661278280543,FALSE
"11",17,3,1,6082023,1000,1,"Thordyke","blank","Blank",NA,NA,"a",3,"Note that this is a repeat of last nights run",-0.131786291,-0.131786291,0,0.6799,0,FALSE
"12",19,3,4,6082023,1000,4,"Thordyke","blue","50",NA,NA,"a",3,"",0.053513931,-0.131786291,0.185300222,0.8294,0.223414784181336,TRUE
"13",20,3,5,6082023,1000,5,"Thordyke","blue","50",NA,NA,"a",3,"",0.001458979,-0.131786291,0.13324527,0.518,0.257230250965251,TRUE
"14",21,3,7,6082023,1000,7,"Thordyke","green","90",NA,NA,"a",3,"",0.000237424,-0.131786291,0.132023715,0.8868,0.148876539242219,TRUE
"15",22,3,8,6082023,1000,8,"Thordyke","green","90",NA,NA,"a",3,"",-0.040587285,-0.131786291,0.091199006,0.4821,0.189170309064509,TRUE
"16",23,3,9,6082023,1000,9,"Thordyke","green","90",NA,NA,"a",3,"",-0.128034139,-0.131786291,0.00375215200000001,0.5613,0.00668475325138074,TRUE
"17",24,4,1,6082023,1145,1,"Chelsea","blue","51",NA,NA,"b",4,"",-0.662650887,-0.248025921,-0.414624966,0.7788,-0.532389530046225,FALSE
"18",25,4,2,6082023,1145,2,"Chelsea","green","52",NA,NA,"b",4,"",-0.485251354,-0.248025921,-0.237225433,0.2997,-0.791542986319653,FALSE
"19",26,4,4,6082023,1145,4,"Chelsea","red","31",NA,NA,"b",4,"",-0.774149128,-0.248025921,-0.526123207,0.9205,-0.571562419337317,FALSE
"20",28,4,7,6082023,1145,7,"Chelsea","red","31",NA,NA,"b",4,"",-0.276725268,-0.248025921,-0.028699347,0.6159,-0.0465974135411593,FALSE
