Date,Time,Chamber,Site,Colour,Bag Number,Mass,Length,file letter,Run,Respirometry number,Notes
6072023,1200,1,Thordyke,Blue,35,,,b,1,1,note a file had too many flat batteries
6072023,1200,2,Thordyke,Red,4,,,b,1,2,
6072023,1200,4,Thordyke,Blank,Blank,,,b,1,4,
6072023,1200,5,Thordyke,Red,5,,,b,1,5,
6072023,1200,7,Thordyke,Red,6,,,b,1,7,data didn't save for this chamber
6072023,1200,8,Thordyke,Red,5,,,b,1,8,
6072023,1200,9,Thordyke,Red,4,,,b,1,9,
6072023,,1,Thordyke,Blue,35,,,c,2,10,
6072023,,2,Thordyke,Red,6,,,c,2,11,
6072023,,4,Thordyke,Blue,71,,,c,2,12,
6072023,,5,Thordyke,Green,82,,,c,2,13,
6072023,,7,Thordyke,Blank,Blank,,,c,2,14,Measurement eror with proble. NO blank fro this run.
6072023,,8,Thordyke,Green,82,,,c,2,15,
6072023,,9,Thordyke,Blue,71,,,c,2,16,
6072023,1700,1,Thorndyke,Blank,Blank,,,d,3,17,Discard first 20 minutes
6072023,1700,2,Thorndyke,Green,82,,,d,3,18,
6072023,1700,4,Thorndyke,Blue,50,,,d,3,19,
6072023,1700,5,Thorndyke,Blue,50,,,d,3,20,
6072023,1700,7,Thorndyke,Green,90,,,d,3,21,
6072023,1700,8,Thorndyke,Green,90,,,d,3,22,
6072023,1700,9,Thorndyke,Green,90,,,d,3,23,
6082023,1145,1,Chelsea,Blue,51,,,b,4,24,
6082023,1145,2,Chelsea,Green,52,,,b,4,25,
6082023,1145,4,Chelsea,Red,31,,,b,4,26,
6082023,1145,5,Chelsea,Blank,Blank,,,b,4,27,
6082023,1145,7,Chelsea,Red,31,,,b,4,28,
6082023,1145,8,Chelsea,Green,52,,,b,4,29,
6082023,1145,9,Chelsea,Green,62,,,b,4,30,
6082023,1346,1,Chelsea,Blue,59,,,d,5,31,D is a repeat of c
6082023,1346,2,Chelsea,Green,62,,,d,5,32,Battery went flat at 30 minute mark
6082023,1346,4,Chelsea,Blue,59,,,d,5,33,
6082023,1346,5,Chelsea,Blue,55,,,d,5,34,
6082023,1346,7,Chelsea,Green,52,,,d,5,35,
6082023,1346,8,Chelsea,Blank,Blank,,,d,5,36,
6082023,1346,9,Chelsea,Blue,51,,,d,5,37,
6082023,1506,1,Chelsea,Red,43,,,e,6,38,
6082023,1506,2,Chelsea,Blue,55,,,e,6,39,
6082023,1506,4,Chelsea,Blank,Blank,,,e,6,40,
6082023,1506,5,Chelsea,Red,43,,,e,6,41,
6082023,1506,7,Chelsea,Red,41,,,e,6,42,
6082023,1506,8,Chelsea,Blue,51,,,e,6,43,
6082023,1506,9,Chelsea,Red,41,,,e,6,44,
6082023,1630,1,Chelsea,Green,62,,,f ,7,45,
6082023,1630,2,Chelsea,Green,53,,,f ,7,46,
6082023,1630,4,Chelsea,Green ,35,,,f ,7,47,
6082023,1630,5,Chelsea,Green ,53,,,f ,7,48,
6082023,1630,7,Chelsea,Blank,Blank,,,f ,7,49,
6082023,1630,8,Chelsea,Red,31,,,f ,7,50,
6082023,1630,9,Chelsea,Blue,59,,,f ,7,51,
6132023,1200,1,Manchester,Blank,Blank,,,a,8,52,
6132023,,2,Manchester,blue,57,,,a,8,,redoing this one in the next round--I think the fiber optic cable was crossed
6132023,,4,Manchester,green,95,,,a,8,53,
6132023,,5,Manchester,green,92,,,a,8,,redoing this one in the next round - blinking exclamation point next to the sensor in the display
6132023,,7,Manchester,green,76,,,a,8,54,
6132023,,8,Manchester,blue,30,,,a,8,,Sensor 8 just isn;t showing up in the software
6132023,,9,Manchester,red,12,,,a,8,55,
6132023,1430,1,Manchester,red,14,,,c,9,56,
6132023,1430,2,Manchester,blue,57,,,c,9,57,same oyster as from chamber 2 in last run
6132023,1430,4,Manchester,blank,blank,,,c,9,58,
6132023,1430,7,Manchester,green,92,,,c,9,59,same oyster as from chamber 5 in last run
6132023,1430,9,Manchester,blue,30,,,c,9,60,same oyster as from chamber 8 in last run
6132023,1745,1,Manchester,red,13,,,d,10,61,
6132023,1745,2,Manchester,blank,blank,,,d,10,62,
6132023,1745,4,Manchester,red,12,,,d,10,63,
6132023,1745,7,Manchester,green,76,,,d,10,64,
6132023,1745,9,Manchester,red,13,,,d,10,65,
6142023,900,1,Manchester,blue,57,,,bb,11,66,
6142023,900,2,Manchester,blue,30,,,bb,11,67,
6142023,900,4,Manchester,red,14,,,bb,11,68,
6142023,900,7,Manchester,green,92,,,bb,11,69,
6142023,900,8,Manchester,green,95,,,bb,11,70,
6142023,900,9,Manchester,blank,blank,,,bb,11,71,
6142023,1200,1,Manchester,blue,33,,,c,12,72,
6142023,1200,2,Manchester,blue,30,,,c,12,73,
6142023,1200,4,Manchester,blue,33,,,c,12,74,I dont know what the second drop off on the graph is but the mag bar was spinning the whole time
6142023,1200,7,Manchester,green,92,,,c,12,75,
6142023,1200,8,Manchester,blank,blank,,,c,12,76,
6142023,1200,9,Manchester,red,14,,,c,12,77,The graph on this one looks weird but it's bc I had the sensor out of the water right at the start
6192023,1208,1,Hood Head,Blue,84,,,a,13,78,
6192023,1208,2,Hood Head,red,47,,,a,13,79,
6192023,1208,4,Hood Head,Green ,78,,,a,13,80,
6192023,1208,,,,,,,,,81,Probe broken
6192023,1208,7,Hood Head,Red,37,,,a,13,82,
6192023,1208,8,Hood Head,Blank,,,,a,13,83,
6192023,1208,9,Hood Head,Green,87,,,b,14,84,
6192023,1330,1,Hood Head,Blank,,,,b,14,85,
6192023,1330,2,Hood Head,Red,38,,,b,14,86,
6192023,1330,4,Hood Head,Blue,85,,,b,14,87,
6192023,1330,7,Hood Head,Red ,32,,,b,14,88,
6192023,1330,8,Hood Head,Green,78,,,b,14,89,
6192023,1330,9,Hood Head,Blue,84,,,b,14,90,
6192023,1440,1,Hood Head,Green,87,,,c,15,91,
6192023,1440,2,Hood Head,red,38,,,c,15,92,
6192023,1440,4,Hood Head,Blue,85,,,c,15,93,
6192023,1440,7,Hood Head,Blank,,,,c,15,94,
6192023,1440,8,Hood Head,Red,47,,,c,15,95,
6192023,1440,9,Hood Head,Red,32,,,c,15,96,
6192023,1600,1,Hood Head,Green,54,,,d,16,97,
6192023,1600,2,Hood Head,Blank,,,,d,16,98,
6192023,1600,4,Hood Head,Blue,85,,,d,16,99,
6192023,1600,7,Hood Head,Red,47,,,d,16,100,
6192023,1600,8,Hood Head,Red,38,,,d,16,101,
6192023,1600,9,Hood Head,Green,78,,,d,16,102,
6192023,1700,1,Hood Head,Blue,86,,,e,17,103,
6192023,1700,2,Hood Head,Green,54,,,e,17,104,
6192023,1700,4,,,,,,,,,Not used
6192023,1700,7,Hood Head,Blue,84,,,e,17,106,
6192023,1700,8,Hood Head,Blank,,,,e,17,107,
6192023,1700,9,Hood Head,Green,87,,,e,17,108,
6192023,6192023,1,Hood Head,Blue,87,,,f,18,109,
6192023,6192023,2,,,,,,,,,Not used
6192023,6192023,4,Blank,Blank,,,,f,18,,Not used
6192023,6192023,7,Hood Head,Blue,87,,,f,18,110,
6192023,6192023,8,,,,,,,,,Not used
6192023,6192023,9,Hood Head,Green ,54,,,f,18,111,
